parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,bracken_classified_reads,nt_rpm
970,1,bacteria,2754044,Selenomonas timonae,10475,10523,10523
2637378,1,bacteria,712538,Selenomonas sp. oral taxon 478,2150,2252,2252
2637378,1,bacteria,1884263,Selenomonas sp. oral taxon 920,3,3,3
2637378,1,bacteria,712528,Selenomonas sp. oral taxon 126,1,1,1
2637378,1,bacteria,713030,Selenomonas sp. oral taxon 136,1,1,1
970,1,bacteria,69823,Selenomonas sputigena,1,1,1
970,1,bacteria,135079,Selenomonas dianae,1,1,1
673272,1,bacteria,673273,uncultured Anaeromusa sp.,1,1,1
29465,1,bacteria,39778,Veillonella dispar,1551,1638,1638
29465,1,bacteria,29466,Veillonella parvula,1061,1069,1069
29465,1,bacteria,2682456,Veillonella nakazawae,866,960,960
2630086,1,bacteria,2682455,Veillonella sp. S12025-13,4,4,4
29465,1,bacteria,423477,Veillonella rogosae,3,3,3
29465,1,bacteria,248315,Veillonella rodentium,1,1,1
1378,1,bacteria,1379,Gemella haemolysans,6823,6849,6849
1386,1,bacteria,2728853,Bacillus fonticola,1,1,1
1386,1,bacteria,1479,Bacillus smithii,1,4,4
2675274,1,bacteria,2897333,Metabacillus sp. B2-18,1,2,2
44249,1,bacteria,1886670,Paenibacillus nuruki,1,1,1
44249,1,bacteria,2495582,Paenibacillus albus,1,1,1
1279,1,bacteria,1280,Staphylococcus aureus,1,1,1
1569,1,bacteria,1571,Sporosarcina ureae,1,1,1
1301,1,bacteria,1307,Streptococcus suis,1801,1893,1893
1301,1,bacteria,257758,Streptococcus pseudopneumoniae,1622,1788,1788
1301,1,bacteria,28037,Streptococcus mitis,1255,1325,1325
1301,1,bacteria,1313,Streptococcus pneumoniae,26,27,27
2608887,1,bacteria,2993430,Streptococcus sp. SP4011,4,4,4
2608887,1,bacteria,2598453,Streptococcus sp. 116-D4,2,2,2
2608887,1,bacteria,3077584,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,1,1,1
2608887,1,bacteria,3028082,Streptococcus sp. 29896,1,1,1
2608887,1,bacteria,3020829,Streptococcus sp. HN38,1,1,1
1301,1,bacteria,1303,Streptococcus oralis,4,4,4
1301,1,bacteria,1340,Streptococcus porcinus,4,4,4
1301,1,bacteria,2819619,Streptococcus toyakuensis,2,2,2
119603,1,bacteria,1334,Streptococcus dysgalactiae,1,1,1
119603,1,bacteria,1336,Streptococcus equi,1,1,1
1301,1,bacteria,1302,Streptococcus gordonii,1,1,1
1301,1,bacteria,1318,Streptococcus parasanguinis,1,1,1
1301,1,bacteria,1311,Streptococcus agalactiae,1,2,2
1301,1,bacteria,315405,Streptococcus gallolyticus,1,1,1
1301,1,bacteria,1343,Streptococcus vestibularis,1,1,1
671232,1,bacteria,76860,Streptococcus constellatus,1,103,103
1301,1,bacteria,2021971,Streptococcus respiraculi,1,1,1
1301,1,bacteria,1433513,Streptococcus gwangjuense,1,1,1
1930830,1,bacteria,1859475,Floricoccus penangensis,2,2,2
2767879,1,bacteria,1007676,Companilactobacillus ginsenosidimutans,3,3,3
2767887,1,bacteria,1623,Ligilactobacillus ruminis,1,1,1
2767885,1,bacteria,1599,Latilactobacillus sakei,1,1,1
1350,1,bacteria,1352,Enterococcus faecium,2,2,2
1350,1,bacteria,1354,Enterococcus hirae,1,1,1
29393,1,bacteria,29394,Dolosigranulum pigrum,2,2,2
89092,1,bacteria,89093,Ignavigranum ruoffiae,1,1,1
46205,1,bacteria,185007,Pseudobutyrivibrio xylanivorans,7,7,7
2811390,1,bacteria,2681861,Sporofaciens musculi,3,3,3
189330,1,bacteria,88431,Dorea longicatena,2,2,2
841,1,bacteria,166486,Roseburia intestinalis,1,1,1
2316020,1,bacteria,33038,Mediterraneibacter gnavus,1,1,1
2643635,1,bacteria,3059030,Stomatobaculum sp. F0698,1,1,1
216851,1,bacteria,853,Faecalibacterium prausnitzii,1,1,1
2892396,1,bacteria,2714355,Vescimonas coprocola,1,1,1
1485,1,bacteria,1534,Clostridium kluyveri,1,1,1
1485,1,bacteria,1520,Clostridium beijerinckii,1,1,1
1392389,1,bacteria,1297617,Intestinimonas butyriciproducens,1,1,1
51196,1,bacteria,51197,Syntrophobotulus glycolicus,1,1,1
44260,1,bacteria,1525,Moorella thermoacetica,1,1,1
1678,1,bacteria,216816,Bifidobacterium longum,12063,15445,15445
1678,1,bacteria,1685,Bifidobacterium breve,20,20,20
2608897,1,bacteria,2983212,Bifidobacterium sp. ESL0682,1,1,1
2608897,1,bacteria,2983214,Bifidobacterium sp. ESL0690,1,1,1
2608897,1,bacteria,2983233,Bifidobacterium sp. ESL0790,1,1,1
1678,1,bacteria,1681,Bifidobacterium bifidum,3,3,3
1678,1,bacteria,762210,Bifidobacterium saguini,3,3,3
1678,1,bacteria,158787,Bifidobacterium scardovii,3,3,3
1678,1,bacteria,1683,Bifidobacterium angulatum,3,3,3
1678,1,bacteria,78448,Bifidobacterium pullorum,2,2,2
1678,1,bacteria,2020965,Bifidobacterium imperatoris,1,1,1
1678,1,bacteria,1694,Bifidobacterium pseudolongum,1,1,1
1678,1,bacteria,28025,Bifidobacterium animalis,1,1,1
1678,1,bacteria,33905,Bifidobacterium thermophilum,1,1,1
1678,1,bacteria,35760,Bifidobacterium choerinum,1,1,1
1678,1,bacteria,1686,Bifidobacterium catenulatum,1,1,1
1269,1,bacteria,1270,Micrococcus luteus,2326,2923,2923
1269,1,bacteria,566027,Micrococcus yunnanensis,6,13,13
2620948,1,bacteria,3142261,Micrococcus sp. 2A,3,3,3
2620948,1,bacteria,3101753,Micrococcus sp. HOU1,2,3,3
2620948,1,bacteria,1179670,Micrococcus sp. KBS0714,1,2,2
1269,1,bacteria,1273,Micrococcus lylae,2,2,2
1269,1,bacteria,574650,Micrococcus terreus,1,1,1
32207,1,bacteria,2047,Rothia dentocariosa,719,721,721
32207,1,bacteria,43675,Rothia mucilaginosa,5,5,5
32207,1,bacteria,172042,Rothia aeria,1,1,1
235627,1,bacteria,290399,Arthrobacter sp. FB24,1,1,1
235627,1,bacteria,2894192,Arthrobacter sp. zg-Y820,1,1,1
1663,1,bacteria,37921,Arthrobacter agilis,1,1,1
1663,1,bacteria,2886935,Arthrobacter caoxuetaonis,1,1,1
57493,1,bacteria,72000,Kocuria rhizophila,1,1,1
2639426,1,bacteria,2853258,Paeniglutamicibacter sp. Y32M11,1,1,1
2609290,1,bacteria,3135258,Microbacterium sp. LWH11-1.2,1,1,1
2609290,1,bacteria,2734618,Microbacterium sp. NIBRBAC000506063,1,1,1
2609290,1,bacteria,3041512,Microbacterium sp. F6_8S_P_2B,1,1,1
33882,1,bacteria,2782168,Microbacterium atlanticum,1,1,1
33882,1,bacteria,2614639,Microbacterium lushaniae,1,1,1
257496,1,bacteria,2175620,Curtobacterium sp. MCLR17_036,1,1,1
1434022,1,bacteria,1162966,Naasia aerilata,1,1,1
2632331,1,bacteria,2708338,Salinibacterium sp. ZJ450,1,1,1
43668,1,bacteria,1652028,Brachybacterium huguangmaarense,2,2,2
43668,1,bacteria,1331682,Brachybacterium ginsengisoli,1,1,1
2623841,1,bacteria,3023517,Brachybacterium sp. GPGPB12,1,1,1
43668,1,bacteria,2795215,Brachybacterium halotolerans,1,1,1
1707,1,bacteria,2968085,Cellulomonas wangsupingiae,2,2,2
1707,1,bacteria,2819978,Cellulomonas fengjieae,1,1,1
2649176,1,bacteria,2654547,Pseudactinotalea sp. HY158,1,1,1
84756,1,bacteria,84757,Beutenbergia cavernae,2,2,2
265976,1,bacteria,767452,Serinicoccus chungangensis,1,1,1
265976,1,bacteria,1078471,Serinicoccus profundi,1,1,1
626119,1,bacteria,2779775,Ruania alkalisoli,2,2,2
53357,1,bacteria,53358,Intrasporangium calvum,1,1,1
60919,1,bacteria,60920,Sanguibacter keddieii,1,1,1
2885697,1,bacteria,2716227,Gephyromycinifex aptenodytis,1,1,1
157920,1,bacteria,1710,Cellulosimicrobium cellulans,1,1,1
2529408,1,bacteria,1660,Schaalia odontolytica,791,819,819
2691889,1,bacteria,3059028,Schaalia sp. HMT-172,488,529,529
2691889,1,bacteria,2794089,Schaalia sp. 19OD2882,7,7,7
2691889,1,bacteria,2709403,Schaalia sp. ZJ405,2,2,2
2529408,1,bacteria,52773,Schaalia meyeri,53,53,53
2529408,1,bacteria,131111,Schaalia turicensis,10,10,10
2529408,1,bacteria,181487,Schaalia cardiffensis,4,4,4
2529408,1,bacteria,131110,Schaalia radingae,1,1,1
1654,1,bacteria,1852377,Actinomyces pacaensis,1409,1416,1416
2609248,1,bacteria,1851395,Actinomyces sp. Chiba101,1,1,1
2609248,1,bacteria,2079536,Actinomyces sp. Z16,1,1,1
1654,1,bacteria,2755559,Actinomyces capricornis,1,1,1
1654,1,bacteria,52771,Actinomyces howellii,1,1,1
1654,1,bacteria,52774,Actinomyces slackii,1,1,1
1654,1,bacteria,103621,Actinomyces urogenitalis,1,1,1
1654,1,bacteria,2560010,Actinomyces procaprae,1,1,1
1654,1,bacteria,2057743,Actinomyces wuliandei,1,1,1
2740557,1,bacteria,178339,Pauljensenia hongkongensis,7,7,7
1069494,1,bacteria,59561,Trueperella bernardiae,1,1,1
1069494,1,bacteria,445930,Trueperella abortisuis,1,1,1
2692118,1,bacteria,33007,Winkia neuii,2,2,2
